request_id,eligible_technicians,excluded_technicians_and_reasons,expected_technician,expected_start,expected_end,decision_status,recommendation_reason
R001,T001|T002,T003:CERTIFICATION_MISMATCH,T002,2025-01-15T10:30,2025-01-15T12:00,ASSIGNED,deterministic ranking
R002,T001|T002|T003,T004:SKILL_MISMATCH,T003,2025-01-15T10:00,2025-01-15T11:00,ASSIGNED,lowest projected workload ratio
R003,T006|T007,T008:SKILL_MISMATCH,T007,2025-01-15T09:00,2025-01-15T10:30,ASSIGNED,lowest projected workload ratio
R004,T004|T005,T001:SKILL_MISMATCH,T004,2025-01-15T10:00,2025-01-15T11:30,ASSIGNED,earliest valid ranked candidate
R005,T004|T005,T001:SKILL_MISMATCH,T004,2025-01-15T14:00,2025-01-15T15:00,ASSIGNED,lowest projected workload ratio
R006,T006|T007,T008:STATUS_UNAVAILABLE,T007,2025-01-15T10:00,2025-01-15T11:00,ASSIGNED,lowest projected workload ratio
R007,T006|T007,T008:STATUS_UNAVAILABLE,T007,2025-01-15T16:00,2025-01-15T18:00,ASSIGNED,shift and conflict valid
R008,T001,T003:CERTIFICATION_MISMATCH,T001,2025-01-16T11:00,2025-01-16T12:30,ASSIGNED,qualified available technician
E-WORKLOAD,T002,T001:WORKLOAD_LIMIT,T002,2025-01-15T10:30,2025-01-15T12:00,ASSIGNED,workload exclusion
E-NOFEAS,,all:NO_FEASIBLE_SLOT,,,,NO_FEASIBLE_TECHNICIAN,no valid slot
